model,year,trivia,bore/stroke,unitary displacement,total displacement,compression ratio,maximum power,power per litre,maximum torque,valve actuation,fuel feed,ignition,lubrication,clutch,frame,front suspension,rear suspension,brakes,transmission,steering,fuel tank,front tyres,rear tyres,type,length,width,height,wheelbase,front track,rear track,weight,top speed,acceleration 0-100,0-400,0-1000,motore,urban test cycle (homologation 4-1993 with precedent testethod),motorway at 90 (homologation 4-1993 with precedent testethod),motorway at 120 (homologation 4-1993 with precedent testethod),"urban test cycle ece (version ""euro 2"")","extra urban test cycle eudc (version ""euro 2"")","consumption ece+eudc (version ""euro 2"")","co2 emissions combined (version ""euro 2"")","urban test cycle ece (version ""euro 3"")","extra urban test cycle eudc (version ""euro 3"")","consumption ece+eudc (version ""euro 3"")","co2 emissions combined (version ""euro 3"")","urban test cycle ece (versione ""euro 3"")","extra urban test cycle eudc (versione ""euro 3"")","consumption ece+eudc (versione ""euro 3"")","co2 emissions combined (versione ""euro 3"")",urban test cycle ece,extra urban test cycle eudc,consumption ece+eudc,co2 emissions combined,overall length,overall width,front overhang,rear overhang,dry weight,kerb weight,boot (trunk) capacity,fuel tank capacity,weight distribution,unit displacement,specific power,dry weight/power,transmission and gearbox,electronic controls,front,rear,maximum speed,0-100 (0-62ph),manual gearbox: 0-400,manual gearbox: 0-1000,f1 gearbox: 0-400,f1 gearbox: 0-1000,combined,*,**,gearbox,maximum power*,maximum revs perinute,specific output,suspension,0-200 (0-124ph),engine intake with twin ø,chassis,overall lenght,height 4,ful tank capacity,weight/power ratio,overall displacement,maximum power**,0-100,0-1.000,cst with f1-trac system,tptms,rear:,combined (ece+eudc)*,front (option),rear (option),overall lenght (in),overall width (in),height (in),wheelbase (in),front track (in),rear track (in),dry wheight* (lb),kerb weight* (lb),fuel tank capacity (gal),boot (trunk) capacity (cu ft),front (in),rear (in),cst with f1-trac,bore and stroke (in),unit displacement (cu in),total displacement (cu in),maximum speed (mph),0-62ph (s),0-1.000 (s),weight/power ratio (lb/cv),combined* (ece+eudc) (l/100 km),combined* (ece+eudc) (g/km),specific power output,weight distribution fr/r,fuel consumption***,emissions***,electronics,***,dry weight*,kerb weight*,boot capacity,bore and stroke,maximum torque**,f1,scm,combined ece*,front (winter),"rear (winter, can be used w/ chain)",0-62ph,0-124ph,suspensions,dry wheight,maximum engine speed,fiorano lap time,rear winter,0-62ph (0-100),0-124ph (0-200),dry weight/power ratio,fuel consumption (europeanarket version),co2 emission (europeanarket version),rear bench capacity,0-437 yd (0-400),0-1093 yd (0-1000),62-0ph (100-0),124-0ph (200-0),co2 emissions ***,7 gears f1 dual clutch transmission,"e-diff3, f1-trac, high performance abs with ferrari pre-fill","rear (winter, can be used with chains)",total capacity,maximum power **,maximum revs,esc,high-performance abs/ebd,f1-trac,e-diff 3,scm-e with dual coil,0-200,"** engine power is expressed in kw, in accordance with",totalaximum power,totalaximum torque,v12aximum power*,v12aximum torque,electricotor output,co2 emissions,0-300,7-speed dct,high perf abs/ebd,ef1-trac,scm-e frs,aerodynamics,maximum revs (limiter),"esc, high performance abs/ebd, f1-trac, e-diff, scc, frd scm-e",7-speed f1 dual-clutch transmission,fuel consumption,high performance abs/ebd distribution,ssc,frs scm-e,0-400m (0-437 yd),0-1000m (0-1093 yd),100 - 0 (62 – 0ph),200 – 0 (124 – 0 kph),co2 emissions***,maximum torque*,dry weight**,kerb weight**,front (opt),rear (opt),cst with f1 trac system (control for stability and traction),maximum revs perinute (limiter),"rear (winter, can be used with chain)",7-speed f1 dual-clutch gearbox,62-0ph,124-0ph,high performance abs/ebd,f1 trac,maximum power *,maximum torque *,kerb weight **,dry weight **,"e-diff3, f1-trac, abs/ebd performance with ferrari pre-fill, frs scm-e, ssc",0-400m,0-1000m,low,mid,high,extra high,7-speed f1 dual-clutch,bore stroke,"e-diff3, f1-trac, high-performance abs with ferrari pre-fill, frs scm-e, ssc",0 – 100,0 – 200,0 – 400,0 – 1000,maximum power output*,max. revs,0-100 km/h,4rm evo/4ws/ 7-speed f1 dct/ e-diff,"ssc4/ cst with f1 trac, esp",9.0 premium with abs evo/scm - e,0 - 100,0 - 200,100 - 0,200 - 0,max. power output*,max. engine speed,"f1 dual-clutch transmission, 7-speed","esp, esc, with f1-trac, e-diff 3, scm- 					e with twin solenoid",100-0,max. torque*,f1 seven-speed dual-clutch transmission,"e-diff3, f1-trac, abs/high performance ebd with ferrari pre-fill, frs scm-e, fde, ssc 6.0",0-200 km/h,100-0 km/h,200-0 km/h,max. speed,f1 7-speed dual-clutch gearbox,"e-diff3, f1-trac, high performance abs/ebd with ferrari pre-fill, frs scm-e, ssc with fde"
550 Barchetta Pininfarina,2000,"Unveiled at the Paris Show in 2000, the 550 Barchetta Pininfarina was so named to commemorate the 70th anniversary of Ferrari’s coachbuilder and stylist. A strictly limited edition of just 448 numbered cars was built, with the last leaving the factory in December 2001.",88 x 75 mm,456.16 cc,5473.91 cc,10.8 : 1,357 kW (485 hp) at 7000 rpm,89 hp/l,569 Nm (58 kgm) at 5000 rpm,"twin overhead camshafts per bank, four valves per cylinder",Bosch Motronic M5.2 electronic injection,"Bosch Motronic M5.2 static electronic, single spark plug per cylinder",dry sump,single-plate,tubular steel,"independent, unequal-length wishbones, coil springs over gas-filled telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs over gas-filled telescopic shock absorbers, anti-roll bar",discs,6-speed + reverse,rack-and-pinion,capacity 114 litres,255/40 ZR 18,295/35 ZR 18,two-seater spider,4550 mm,1935 mm,1258 mm,2500 mm,1632 mm,1586 mm,1690 kg (kerb),300 km/h,4.4 sec,12.5 sec,22.6 sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360 spider,2000,"The 360 Spider is Ferrari’s 20th road-going convertible and is a record breaker in two quite different ways. It was also the best spider ever built at Maranello pre-2000 in terms of its technical content, styling and performance.",85 x 79 mm,448.29 cc,3586.20 cc,11 : 1,294 kW (400 hp) at 8500 rpm,112 hp/l,373 Nm (38 kgm) at 4750 rpm,"twin overhead camshafts per bank, five valves per cylinder",Bosch Motronic ME7.3 electronic injection,"Bosch Motronic ME7.3 static electronic, single spark plug per cylinder",dry sump,single-plate,aluminium spaceframe,"independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar",discs,manual or electro-hydraulic F1 6-speed + reverse,rack-and-pinion,capacity 95 litres,215/45 ZR 18,275/40 ZR 18,two-seater spider,4477 mm,1922 mm,1235 mm,2600 mm,1669 mm,1617 mm,1350 kg (dry),over 290 km/h,4.6 sec,12.7 sec,23.1 sec,,,,,,,,,,,,,"30,2/100 km","12,9 l/100 km","19,3 l/100 km",440 g/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360 GT,2002,"With the launch of the 360 Modena Challenge in 2000, the level of competitiveness of the Ferrari Challenge series took a huge step forward.",85 x 79 mm,448.29 cc,3586.20 cc,11:1,316 kW (430 hp) at 8500 rpm,120 hp/l,377 Nm (38.5 kgm) at 5000 rpm,"twin overhead camshafts per bank, five valves per cylinder",Bosch electronic injection,"Bosch electronic, single spark plug per cylinder",dry sump,single-plate,aluminium spaceframe,"independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar",discs,electro-hydraulic F1 6-speed + reverse,rack-and-pinion,capacity 100 litres,265/645 x 18,305/680 x 18,two-seater berlinetta,4557 mm,1985 mm,1185 mm,2600 mm,1728 mm,1643 mm,1100 kg (dry),-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enzo Ferrari,2002,"Over the years Ferrari has introduced a series of supercars which have represented the very pinnacle of the company’s technological achievements transferred to its road cars. These include the GTO, F40 and F50. This family of extreme performance cars was joined in 2002 by the Enzo Ferrari, which was the expression of the latest Formula 1 technology and know-how.",92 x 75.2 mm,499.90 cc,5998.80 cc,11.2 : 1,485 kW (660 hp) at 7800 rpm,110 hp/l,657 Nm (67 kgm) at 5500 rpm,"twin overhead camshafts per bank, four valves per cylinder",Bosch Motronic ME7 injection,"Bosch Motronic ME7 electronic static, single spark plug per cylinder",dry sump,twin-plate,carbon-fibre and Nomex honeycomb monococque,"independent push-rod, unequal-length wishbones, coil springs, telescopic shock absorbers with electronic adaptive damping","independent push-rod, unequal-length wishbones, coil springs, telescopic shock absorbers with electronic adaptive damping",carbon-ceramic discs,electro-hydraulic F1 6-speed + reverse,rack-and-pinion,capacity 110 litres,245/35 ZR 19,345/35 ZR 19,two-seater berlinetta,4702 mm,2035 mm,1147 mm,2650 mm,1660 mm,1650 mm,1255 kg (dry),over 350 km/h,3.65 sec,11.00 sec,19.60 sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575M Maranello,2002,The 2002 launch of the 575M Maranello signals a whole new level of achievement for one of Ferrari’s most traditional layouts – the V12 front-engined rear-wheel drive berlinetta.,89 x 77 mm,479.03 cc,5748.36 cc,11 : 1,379 kW (515 hp) at 7250 rpm,90 hp/l,588 Nm (60 kgm) at 5250 rpm,"twin overhead camshafts per bank, four valves per cylinder",Bosch Motronic injection,"Bosch Motronic electronic static, single spark plug per cylinder",dry sump,single-plate,tubular steel,"independent, unequal-length wishbones, coil springs, telescopic shock absorbers with electronic adaptive damping, anti-roll bar","independent, unequal-length wishbones, coil springs, telescopic shock absorbers with electronic adaptive damping, anti-roll bar",discs,manual or electro-hydraulic F1 6-speed + reverse,rack-and-pinion,capacity 105 litres,255/40 ZR 18,295/35 ZR 18,two-seater berlinetta,4550 mm,1935 mm,1277 mm,2500 mm,1632 mm,1586 mm,1730 kg (kerb),325 km/h,4.25 sec 4.20 sec F1 gearbox,12.30 sec 12.25 sec F1 gearbox,22.00 sec 21.90 sec F1 gearbox,,,,,,,,,,,,,,,,,"34,5 l/100 km","14,3 l/100 km","21,8 l/100 km",499 g/ km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Challenge Stradale,2003,"The Challenge Stradale lines up alongside the 360 Modena and 360 Spider with the precise aim of providing drivers the performances that only a true racing car for road use can provide. The experiences coming from the Ferrari Challenge International Championships and the FIA GT races, have allowed Ferrari technicians to develop solutions that make the Challenge Stradale really unique. This strong link to racing is underlined not only by a significant weight reduction, but also by its engine set up, aerodynamics, braking system and F1 style gearbox.",85 x 79 mm,448.29 cc,3586.20 cc,11.2 : 1,313 kW (425 hp) at 8500 giri/min,119 hp/l,373 Nm (38 kgm) at 4750 rpm,"twin overhead camshafts per bank, five valves per cylinder",Bosch Motronic ME7.3 electronic injection,"Bosch Motronic ME7.3 static electronic, single spark plug per cylinder",dry sump,single-plate,aluminium spaceframe,"independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar",carbon-ceramic discs,electro-hydraulic F1 6-speed + reverse,rack-and-pinion,capacity 95 litres,225/35 ZR 19,285/35 ZR 19,two-seater berlinetta,4477 mm,1922 mm,1199 mm,2600 mm,1669 mm,1617 mm,1180 kg (dry),300 km/h,4.1 sec,12.1 sec,22.0 sec,,,,,,,,,,,,,,,,,"30,1 l/100 km","12,7 l/100 km","19,1 l/100 km",440 g/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575 GTC,2003,The 575 GTC was developed by the Ferrari Corse Clienti department in collaboration with N.Technology to make the most of the original 575 M Maranello cars strong points. It has been adapted to meet the demands of the race track while complying to the specific regulations such as the widening of its track. The 575 GTC Evo 2005 also features modified air intakes on the bonnet to improve internal air flow.,90 x 78.56 mm,499.77 cc,5997.32 cc,"12,9:1",445 kW (605 hp) at 6300 rpm,101 hp/l,730 Nm (74 kgm) at 5200 rpm,"twin overhead camshafts per bank, four valves per cylinder",Magneti Marelli electronic injection,"Magneti Marelli electronic, single spark plug per cylinder",dry sump,multi-plate,tubular steel with composite panels,"independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar",discs,sequential 6-speed + reverse,rack-and-pinion,capacity 100 litres,325/650 x 18,325/705 x 18,two-seater berlinetta,4590 mm,2035 mm,1170 mm,2500 mm,1706 mm,1682 mm,1150 kg (dry),-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F430,2004,The F430 hails the arrival of a whole new generation of Ferrari V8-engined berlinettas. Every inch of the car was inspired by the engineering research carried out at Ferrari’s Gestione Sportiva F1 Racing Division. The result is a highly innovative design characterised by cutting-edge technologies perfected for use on a road-going car.,3.62 x 3.19 in,,262.9 cu in,11.3:1,360.3 kW (490 CV) at 8500 rpm,,465 Nm (343 lbft) at 5250 rpm,,,,,,,,,,,,,,,90° V8,,,47.8 in,102.4 in,65.7 in,63.6 in,,,,,,,,,,,,,,,,,,,,,,,,,,177.6 in,75.7 in,43.3 in,32.0 in,2975 lb*,3196 lb*,9 cu ft,21 UK gal (25 US gal),43%/57% front/rear,32.9 cu in,114 CV/I,6.1 lb/CV,Manual or F1,Control for Stability and Traction (CST),225/35 ZR 19”,225/35 ZR 19”,over 196 mph,4.00 s,12.00 s,21.65 s,11.95 s,21.60 s,345 g/km,European market version,"Note for all models’ technical specifications Engine power is expressed in kW, in accordance with the International System of Units (SI) and in CV for reasons of homogeneity. The horse power (hp) can be calculated as follows: 1 kW=1.34 hp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360 GTC,2004,"The car was developed by the Corse Clienti department in Maranello in collaboration with Michelotto Automobili and sports the latest technology tested with great success in the previous 360 GT. Compared to its predecessor the 360 GTC has substantially different aerodynamics: research in the wind tunnel lead to a different position of the car’s rear wing, with a significant improvement in downforce. The 360 GTC weighs 1,100 kg, which is the minimum required by the regulations. This is the result of the use of composite material as far as the bodywork is concerned. While maintaining the strength of the original parts, the weight could be decreased significantly.",85 x 79 mm,448.29 cc,3586.20 cc,11:1,331 kW (450 hp) at 8750 rpm,125 hp/l,410 Nm (42 kgm) at 6500 rpm,"twin overhead camshafts per bank, five valves per cylinder",Magneti Marelli electronic injection,"Magneti Marelli electronic, single spark plug per cylinder",dry sump,twin-plate,aluminium spaceframe,"independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar",discs,sequential 6-speed + reverse,rack-and-pinion,capacity 100 litres,265/645 x 18,305/680 x 18,two-seater berlinetta,4557 mm,1982 mm,1185 mm,2600 mm,1714 mm,1573 mm,1100 kg (dry),-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612 Scaglietti,2004,"The 612 Scaglietti is the result of an avant-garde design that continues the great Ferrari 2+2 tradition in fabulous style. Penned by Pininfarina, the 612 Scaglietti is named in honour of Sergio Scaglietti, the legendary Modenese stylist and coachbuilder responsible for bodying some of the most beautiful Ferraris of the 1950s and 60s.",3.50 x 3.03 in,,350.8 cu in,11.2:1,397 kW (540 CV) at 7250 rpm,,588 Nm (434 lbft) at 5250 rpm,,,,,,,,,,,,,,,65° V12,,,52.9 in,116.1 in,66.5 in,64.6 in,,,,,,,,,,,,,,,,,,,,,,,,,,193.0 in,77.0 in,,,3880 lb*,4134 lb*,,24 UK gal (29 US gal),,29.2 cu in,,,,,245/40 ZR 19”,285/40 ZR 19”,199 mph,4 s,,,,,470 g/km,European market version,,F1A 6-gears+Reverse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F430 Spider,2005,"Created by Pininfarina, the F430 Spider is inspired by the car’s exceptional engineering and Formula 1.",3.62 x 3.19 in,,262.9 cu in,11.3:1,360.3 kW (490 CV) at 8500 rpm,,465 Nm (343 lbft) at 5250 rpm,,,,,,,,,,,,,,,90° V8,,,48.6 in,102.4 in,65.7 in,63.6 in,,,,,,,,,,,,,,,,,,,,,,,,,,177.6 in,75.7 in,,,3130 lb*,3351 lb*,,,,32.9 cu in,,,,,,,over 193 mph,4.1 s,,,,,345 g/km,European market version,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superamerica,2005,"The Ferrari Superamerica combines stunning Ferrari 12-cylinder berlinetta performance with a highly original, innovative take on the ever-versatile convertible. The Superamerica is also the very first production car to adopt an innovative rotating roof incorporating electrochromic technology developed exclusively for large glass surfaces, which transforms it from a coupé to a convertible in just a few seconds.The result is a car that combines all of the prestige and allure of a drop-top with the functional advantages of a coupé. ",89 x 77 mm,479.03 cc,5748.36 cc,11.2 : 1,397 kW (540 hp) at 7250 rpm,94 hp/l,588 Nm (60 kgm) at 5250 rpm,"twin overhead camshafts per bank, four valves per cylinder",Bosch Motronic ME7 injection,"Bosch Motronic ME7 electronic static, single spark plug per cylinder",dry sump,single-plate,tubular steel,"independent, unequal-length wishbones, coil springs, telescopic shock absorbers with adaptive damping, anti-roll bar","independent, unequal-length wishbones, coil springs, telescopic shock absorbers with adaptive damping, anti-roll bar",discs,manual or electro-hydraulic F1 6-speed + reverse,rack-and-pinion,capacity 105 litres,255/35 ZR 19,305/30 ZR 19,two-seater spider,4550 mm,1935 mm,1277 mm,2500 mm,1632 mm,1586 mm,1790 kg (kerb),320 km/h,4.25 sec 4.20 sec F1 gearbox,12.30 sec 12.25 sec F1 gearbox,22.00 sec 21.90 sec F1 gearbox,,,,,,,,,,,,,,,,,"34,5 l/100 km","14,3 l/100 km","21,8 l/100 km",499 g/ km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FXX,2005,"The FXX is the fruit of Ferrari’s know-how in building special limited-series sports cars combined with, of course, its racing experience.",94 x 75.2 mm,521.87 cc,6262.45 cc,"13,4:1",588 kW (800 hp) at 8500 rpm,128 hp/l,686 Nm (70 kgm) at 5750 rpm,"twin overhead camshafts per bank, four valves per cylinder",Bosch electronic injection,"electronic, single spark plug per cylinder",dry sump,multi-plate,carbon-fibre and Nomex honeycomb with front and rear aluminium structures,"independent, push-rod, unequal-length wishbones, coil springs over manually adjustable telescopic shock absorbers, anti-roll bar","independent, push-rod, unequal-length wishbones, coil springs over manually adjustable telescopic shock absorbers, anti-roll bar",carbon-ceramic discs,electro-hydraulic F1 6-speed + reverse,rack-and-pinion,capacity 112 litres,245/35 ZR 19,345/35 ZR 19,two-seater berlinetta,4832 mm,2040 mm,1127 mm,2650 mm,1660 mm,1650 mm,1155 kg (dry),345 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F430 Challenge,2006,"The F430 Challenge, the 8-cylinder berlinetta-derived competition car that will be taking part in the Ferrari Challenge Trofeo Pirelli from the 2006 season. Ferrari has also reaffirmed the strong link between its GT and sporting divisions with the new F430 Challenge which is specifically designed to meet the expectations of its sportier clients.",3.62 x 3.19 in,32.9 cu in,262.9 cu in,"11,3 : 1",,,"465 Nm (343 lb-ft) at 5,250 rpm",,,,,,,,,Front 15.7 x 1.42 in; rear 13.8 x 1.32 in,,,22.0 UK gal (26.4 US gal),235/645 19”,295/680 19”,90˚ V8,177.64 in,75.7 in,46.6 in,102.4 in,65.7 in,63.62 in,2701 lb,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Note for all models’ technical specifications. Engine power is expressed in kW, in accordance with the International System of Units (SI) and in CV for reasons of homogeneity. The horsepower (hp) can be calculated as follows: 1kW=1.34 hp.",,,"360 kW (490 CV) at 8,500rpm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599 GTB Fiorano,2006,"The Ferrari 599 GTB Fiorano was designed with several specific objectives in mind: to increase driving pleasure, to guarantee performance (courtesy of technology transfers from the F1 single-seaters), and to ensure comfort, ergonomics and safety. The Ferrari 599 GTB Fiorano sprints from 0 to 100 km/h in 3.7 seconds and has a top speed in excess of 330 km/h. The car takes its name from the Fiorano circuit Ferrari uses to hone the performance of its track and road cars. ‘GTB’ stands for Gran Turismo Berlinetta, after the most famous Ferrari berlinettas ever built, and ’599′ is the displacement of the V12 engine divided by 10.",3.62 x 2.96 in,,366.08 cu in,11.2:1,456 kW (620 CV) at 7600 rpm,,608 Nm (448 lbft) at 5600 rpm,,,,,,,,,,,,,,,65° V12,,,52.6 in,108.3 in,66.5 in,63.7 in,,,,,,,,,,,,,,,,,,,,,,,,,,183.7 in,77.2 in,,,3482 lb*,3722 lb*,11.3 cu ft,27.7 US gal (23.1 UK gal),47%/53% front/rear,30.51 cu in,,,Manual or F1; 6-gears+Reverse,Control for Stability and Traction with F1-Trac,245/40 19”,305/35 20”,over 205 mph,3.7 s,,,,,401 g/km,European market version manual gearbox,,,,8400 rpm (with limiter),103 CV/I,damping control SCM,11 s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F430 GTC,2006,"The 2006 season brought the debut of the stunning Ferrari F430 GTC which was developed by the Corse Clienti department in Maranello in collaboration with Michelotto Automobili. Derived from the excellent F430 road-going berlinetta, the car continues has dominated its category since its debut. Its major wins have included the FIA GT2 Manufacturers’ Cup and Drivers’ titles in both 2006 and 2007, the Drivers’ title again in 2008 in the same championship, the Manufacturers’ title in the American Le Mans GT2 Series in 2007, and the GT category in the 2008 Le Mans 24 Hour Race.",3.62 X 2.96 in,,243.8 cu in,0:00,335 Kw (450 cv) at 7000 rpm.,,490 Nm at 5500 rpm.,,,,,,,,,,,,,,,90° V8,,,46.26 in,102.7 in,"66,78 in","64,57 in",,,,,,,,,,,,,,,,,,,,,,,,,,,78.75 in,,,2745 lb,,,,,,,,,,15.0 X 1.34 in,13.1 X 1.26 in,,,,,,,,,,,,,,,,1.126 ” Restrictors in compliance with FIA-ACO regulations,Aluminium alloy engine block,177.6 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
